Company Name,Industry,Sub-Industry,Company type,Level of Office,Location
Cadila Healthcare Ltd (Zydus)," Pharmaceuticals , Labs", Pharmaceuticals, India's Top 500, Head Office," Ahmedabad / Gujarat 
	- 380015"
Canara Bank, BFSI, Banks, India's Top 500, Head Office," Bangalore / Bengaluru / Karnataka 
	- 560002"
Capital First Ltd, BFSI, Financial Services, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400013"
Carborundum Universal Ltd," Cement , Marble , Stone etc", India's Top 500,ce: Head Office,"i / Tamil Nadu 
	- 600001"," Chennai / Tamil Nadu 
	- 600001"
Castrol India Ltd," Petroleum , Oil , Gas , Refineries"," Petrol , Oil , Gas Products", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400093"
Ceat Ltd," Automobile , Auto Ancillaries", Auto Ancillaries, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400030"
Central Bank Of India., BFSI, Banks, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400021"
Century Enka Ltd," Garment , Textile"," Yarn , Fibre , Thread , Textile ,Accessories", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400020"
Century Plyboards India Ltd.," Wood , Plastic  Furniture , Fixtures , Fittings", India's Top 500,ce: Head Office,"a / West Bengal 
	- 700001"," Kolkata / West Bengal 
	- 700001"
Century Textiles & Industries Ltd," Garment , Textile"," Yarn , Fibre , Thread , Textile ,Accessories", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400030"
CESC Ltd," Power , Energy"," Energy , Power Generation, Distribution , Storage", India's Top 500, Head Office," Kolkata / West Bengal 
	- 700072"
CG Power and Industrial Solutions Ltd (Crompton Greaves)," Electrical , Electronics"," Electrical , Electronics", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400030"
Chambal Fertilisers & Chemicals Ltd, Chemical, Agro Chemical, India's Top 500, Head Office," New Delhi / Delhi 
	- 110025"
Chennai Petroleum Corp. Ltd," Petroleum , Oil , Gas , Refineries"," Petrol , Oil , Gas Products, Refineries", India's Top 500, Head Office," Chennai / Tamil Nadu 
	- 600018"
Cholamandalam Investment & Finance Co Ltd, BFSI, Financial Services, India's Top 500, Head Office," Chennai / Tamil Nadu 
	- 600001"
Cipla Ltd," Pharmaceuticals , Labs", Pharmaceuticals, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400013"
City Union Bank Ltd, BFSI, Banks, India's Top 500, Head Office," Kumbakonam / Tamil Nadu 
	- 612001"
Colgate - Palmolive India Ltd," Food , FMCG , Agriculture", FMCG, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400076"
Compuage Infocom Ltd, Information Technology (IT), IT- Hardware, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400063"
Container Corporation Of India Ltd," Courier , Logistics , Packaging , Transport"," Courier , Logistics , Warehouse , Transport", India's Top 500, Head Office," New Delhi / Delhi 
	- 110076"
Coromandel International Ltd., Chemical, Agro Chemical, India's Top 500, Head Office," Secunderabad / Telangana 
	- 500003"
Corporation Bank, BFSI, Banks, India's Top 500, Head Office," Mangalore / Karnataka 
	- 575001"
Cosmo Films Ltd," Courier , Logistics , Packaging , Transport"," Packaging-Material , Machinery", India's Top 500, Head Office," New Delhi / Delhi 
	- 110025"
Cox & Kings Ltd," Travel , Tourism"," Travel Agencies , Taxi Services", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400001"
CRISIL Ltd, BFSI, Financial Services, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400093"
Cummins India Ltd," Electrical , Electronics, Power , Energy, Engineering, Capital Goods , Machines"," Equipments, Machineries , Instruments, Electrical , Electronics", India's Top 500, Head Office," Pune / Maharashtra 
	- 411045"
Cyient Ltd, Information Technology (IT)," IT Software , QA -Testing", India's Top 500, Head Office," Hyderabad / Telangana 
	- 500081"
Dabur India Ltd," Food , FMCG , Agriculture"," FMCG, Food Processing", India's Top 500, Head Office," Ghaziabad / Uttar Pradesh 
	- 201010"
Dalmia Bharat Sugar & Industries Ltd," Food , FMCG , Agriculture", Sugar, India's Top 500, Head Office," New Delhi / Delhi 
	- 110001"
DB Corp Ltd," Advertising , Media"," Newspapers ,  Magazines , Journals", India's Top 500, Head Office," Bhopal / Madhya Pradesh 
	- 462011"
DCB Bank Ltd, BFSI, Banks, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400013"
DCM Shriram Ltd," Chemical, Cement , Marble , Stone etc"," Agro Chemical, Industrial Chemical", India's Top 500, Head Office," New Delhi / Delhi 
	- 110001"
DCW Ltd, Chemical, Industrial Chemical, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400021"
Deepak Fertilisers & Petrochemicals Corporation Ltd, Chemical, Agro Chemical, India's Top 500, Head Office," Pune / Maharashtra 
	- 411036"
Deepak Nitrite Ltd, Chemical, Industrial Chemical, India's Top 500, Head Office," Vadodara / Gujarat 
	- 390024"
Dena Bank, BFSI, Banks, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400051"
Dewan Housing Finance Corporation Ltd, BFSI, Financial Services, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400099"
Dhampur Sugar Mills Ltd," Food , FMCG , Agriculture", Sugar, India's Top 500, Head Office," New Delhi / Delhi 
	- 110020"
Dhanlaxmi Bank Ltd, BFSI, Banks, India's Top 500, Head Office," Thrissur / Kerala 
	- 680001"
Diamond Power Infrastructure Ltd," Electrical , Electronics"," Electrical , Electronics", India's Top 500, Head Office," Vadodara / Gujarat 
	- 390003"
DishTV India Ltd," Advertising , Media"," TV Cable , Broadcast Networks", India's Top 500, Head Office," Noida / Uttar Pradesh 
	- 201301"
Divis Laboratories Ltd.," Pharmaceuticals , Labs"," Diagnostic , Testing Labs", India's Top 500, Head Office," Hyderabad / Telangana 
	- 500032"
DLF Ltd," Construction, Infrastructure"," Housing , Commercial", India's Top 500, Head Office," New Delhi / Delhi 
	- 110001"
